hex,count_good_aircraft,count_bad_aircraft
841e2d1ffffffff,17,0
841e2d9ffffffff,58,12
841f533ffffffff,60,12
841f5edffffffff,3,1
841f53bffffffff,16,29
841f517ffffffff,0,29
848c12bffffffff,31,41
848c13dffffffff,16,6
848c139ffffffff,4,26
848c107ffffffff,1,0
845f595ffffffff,30,1
845f583ffffffff,52,33
845e707ffffffff,37,0
845e705ffffffff,63,21
8428347ffffffff,186,69
849d217ffffffff,111,8
841b8e1ffffffff,12,0
842731bffffffff,4,2
8427311ffffffff,2,1
8427313ffffffff,3,0
842baa1ffffffff,71,264
8428d3bffffffff,110,21
8428dedffffffff,0,63
84122b5ffffffff,4,4
8412d61ffffffff,50,5
8412d69ffffffff,14,28
8412d45ffffffff,0,24
842b9a1ffffffff,0,3
844b75bffffffff,0,2
84be8d1ffffffff,0,10
8411309ffffffff,0,25
8411347ffffffff,0,33
841136bffffffff,0,16
844b13bffffffff,67,4
844b163ffffffff,34,0
844b105ffffffff,8,3
844b155ffffffff,18,0
844b157ffffffff,41,0
8441331ffffffff,0,4
844b167ffffffff,9,0
8441333ffffffff,0,26
844b129ffffffff,17,14
844b10dffffffff,30,0
844b109ffffffff,10,0
844b113ffffffff,15,0
841ee91ffffffff,33,17
841ee93ffffffff,8,23
842d24bffffffff,0,14
842d25dffffffff,0,12
842d051ffffffff,0,4
8441069ffffffff,8,5
844106bffffffff,19,0
844ba09ffffffff,48,0
844ba0dffffffff,5,0
844bb6dffffffff,14,0
8441145ffffffff,27,1
8441141ffffffff,32,1
8441143ffffffff,0,33
841020dffffffff,0,7
8426291ffffffff,59,13
8431aa1ffffffff,15,3
8431aa9ffffffff,67,41
84355e7ffffffff,29,8
84411c1ffffffff,43,1
84411c3ffffffff,157,44
84411c7ffffffff,69,23
844118dffffffff,21,6
8441181ffffffff,12,51
8441b2dffffffff,35,6
8441b29ffffffff,51,27
8441b05ffffffff,38,38
8441b01ffffffff,35,5
8441b0bffffffff,6,0
8431aadffffffff,34,2
8431853ffffffff,77,5
8410e3dffffffff,40,2
8410e2bffffffff,0,9
8410e05ffffffff,22,14
8410e63ffffffff,26,0
8441a51ffffffff,23,0
8441a53ffffffff,66,20
8441125ffffffff,4,21
8441121ffffffff,0,29
8441127ffffffff,2,3
8431aabffffffff,24,15
8431aa3ffffffff,6,39
84318c9ffffffff,0,19
841f64bffffffff,9,0
841f65dffffffff,9,0
84089a5ffffffff,17,0
841f659ffffffff,11,21
841134dffffffff,0,8
8411341ffffffff,0,12
8431b11ffffffff,41,20
8441a07ffffffff,6,2
8441a23ffffffff,23,18
8468447ffffffff,16,0
846840dffffffff,48,0
8468405ffffffff,42,15
8441033ffffffff,89,21
8441037ffffffff,49,0
8410f01ffffffff,12,0
8410f0dffffffff,31,2
8410f6bffffffff,1,19
8410f45ffffffff,0,37
8410a93ffffffff,0,9
8431a85ffffffff,4,12
84411ebffffffff,22,26
84309b9ffffffff,8,29
8430983ffffffff,0,2
8441b55ffffffff,11,5
8430219ffffffff,0,2
844b325ffffffff,0,10
844b327ffffffff,0,50
844b323ffffffff,58,16
844b33dffffffff,70,0
844b339ffffffff,9,0
8441109ffffffff,10,18
844110dffffffff,21,8
844116bffffffff,28,0
8441161ffffffff,35,0
8441165ffffffff,1,0
84309b7ffffffff,50,0
84309bbffffffff,0,10
842ab47ffffffff,40,95
8427a03ffffffff,53,38
8427a01ffffffff,30,0
8412ccdffffffff,71,24
8412cc1ffffffff,26,0
8428d8bffffffff,49,43
841242bffffffff,98,22
8428dcdffffffff,14,0
8428d13ffffffff,105,41
842baa3ffffffff,0,121
842b9a3ffffffff,48,4
8441723ffffffff,0,9
8441721ffffffff,0,13
8428d8dffffffff,28,0
8428d81ffffffff,86,7
842b81bffffffff,69,21
8428d89ffffffff,0,80
8428de1ffffffff,0,6
8412d05ffffffff,61,0
8412d63ffffffff,7,0
8412d29ffffffff,12,17
8412d03ffffffff,5,0
8412d0bffffffff,17,0
8412d01ffffffff,3,24
8412cd1ffffffff,82,39
841eeb9ffffffff,0,29
841ee87ffffffff,39,0
841ee85ffffffff,36,0
841ee8dffffffff,11,0
841eee3ffffffff,6,0
8431841ffffffff,8,0
8431845ffffffff,11,0
843184dffffffff,12,2
8431b13ffffffff,35,0
8431b1dffffffff,23,0
84414c1ffffffff,25,0
84414c3ffffffff,27,5
8441489ffffffff,34,27
844148bffffffff,0,19
8431819ffffffff,26,0
843181bffffffff,11,0
8410c85ffffffff,8,13
8410c8dffffffff,25,12
842af63ffffffff,7,32
842c0cdffffffff,0,5
842c0c1ffffffff,12,26
842c0c7ffffffff,6,1
84661e1ffffffff,5,0
84661e5ffffffff,41,0
8466133ffffffff,45,0
8466137ffffffff,4,0
8466131ffffffff,22,4
84b26b5ffffffff,3,22
84b24cbffffffff,7,14
84b24ddffffffff,20,12
